sp,svl,svl_sd,svl_n,al,al_sd,al_n,tfl,tfl_sd,tfl_n,hh,hh_sd,hh_n,hw,hw_sd,hw_n,rnd,rnd_sd,rnd_n
des,1.88050448618621,0.0394361748292237,184,1.26703454472981,0.0338597437928089,184,1.07969427934884,0.0327703072324871,184,0.962241379917978,0.0465215969625061,184,1.09672240120442,0.043290093825316,184,0.433306430188268,0.0390207605169027,184
kin,1.88037599580369,0.0398711958962571,168,1.27747922707957,0.0220769715143316,168,1.09450751548798,0.034509189823937,168,0.971777188351536,0.0323513874014165,168,1.11642974700657,0.0350207149952801,168,0.443027008365839,0.0361591315624796,168
nor,1.89211163256302,0.0455661886098054,34,1.27684232674429,0.0230860150448587,34,1.10599972043256,0.0329085721459607,34,0.966955140563992,0.0432288978804656,34,1.1183443923218,0.0408243813574586,34,0.457435365076503,0.0377951713882113,34
att,1.82946554235832,0.0295818100444353,42,1.28103975870349,0.0281780732874989,42,1.09534067982354,0.0300081130513936,42,0.998724795706005,0.0385992552978052,42,1.12014430462831,0.0465996486481567,42,0.459054133485521,0.0285550491886279,42
sou,1.87673205571509,0.043281890971235,117,1.2771403051766,0.0352226812505334,117,1.09308865359026,0.0289202289569706,117,0.956466302357577,0.0395174666405744,117,1.11315931174474,0.0492063137361352,117,0.452809724466793,0.0414106041542316,117
bag,1.88349967297021,0.0546823543027503,44,1.27910538789105,0.028355627206669,44,1.08683978377242,0.0305215887373825,44,0.949026653095521,0.0334791178941184,44,1.10060085233911,0.0327516391516752,44,0.447537738015554,0.0354679562824586,44
wes,1.83640216456096,0.04363241444786,68,1.27563795441131,0.0215388390892101,68,1.09098937595276,0.0312432105647677,68,0.976865545516521,0.035378139753059,68,1.1210893713762,0.0286022205982103,68,0.447590967570924,0.0347281490446108,68
cha,1.84342363094708,0.0348583136536761,17,1.263577923501,0.0296091237415276,17,1.07068612646604,0.0282718808676418,17,0.968155320002535,0.0394794606079601,17,1.10947371625151,0.0358709776161017,17,0.435680752411056,0.028671433122253,17
lin,1.7505137876974,0.0124729249991765,6,1.14962860817421,0.0264580030985337,6,0.99801865347273,0.0275884828974794,6,0.858710207969454,0.0175583974582265,6,0.995021795540444,0.0126084224728787,6,0.321692359350313,0.0330793454726031,6
